,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17
Afghanistan,6.0103247320427124,0.2741931526426469,-2.404750164414409,0.05500616266564199,-0.927290529945616,1.4627354576037537,-0.9824899707637479,-1.0178086900860024,0.8332049733911461,-0.21833796611336456,0.11052796884334884,0.39619694951514217,0.12534944112306448,-0.056640996555007886,0.1055824479936115,0.25508142692621444,-0.09791145271145811
Albania,-2.221346871475354,0.8984499532863586,0.6266272827752714,-1.0225151891948425,0.15343069860578212,-0.6981708124529742,0.23756798938300636,0.014891749596005295,-0.2964705281096834,0.1498393867786275,-0.08700441525585882,0.2565620701849562,-0.5088161085850382,-0.00886498926329847,0.009038182919683401,-0.031566649643568,0.01101393936796283
Algeria,-0.3831711024921497,1.488469700190442,-0.22040369425036857,-0.8728781436065158,-0.23538777230871927,-0.11646634681537672,0.7815515856265811,0.19896475678125047,-0.4040517953709866,-0.28853169052987754,0.00919243674000858,0.10260682461736782,-0.274047687730505,0.04120582480274874,-0.04865634479393209,0.07279578160920201,0.014062315276225998
Angola,5.217736572564901,-2.485063643087403,-0.6421086034027591,-0.28070285916833093,-0.17960155686602014,-0.7218853968630655,0.457585249268752,0.13675522057995754,0.9409001137130846,0.4228454674579625,-0.021625946014303718,1.1720596188001464,-0.45692943163069005,0.9493658928322287,0.17362254654666717,-0.21897808528072732,0.06074650491207362
Antigua and Barbuda,-1.9624347054747138,0.6920930312293788,0.4188411958294335,-0.21367046050738117,-0.0022757722920181693,-0.05223870423221851,-0.7303358918790502,-0.3209788026537217,0.16540250718370886,0.7457703436268963,-0.29455992881666127,0.03216064055283485,-0.02005981226048622,0.04198572614862781,0.014457139843427934,0.09092902010872755,0.07799911787014288
Argentina,-2.0007375027466847,-0.2977445804175424,0.21866640134395346,-0.6995149751822385,0.7368035953815393,-0.26832533454231516,-0.027204900334382606,-0.29412966352261594,-0.025954473767831217,0.5819961916067634,-0.34639571479506626,-0.25062274579375166,-0.1906336699344534,0.06268841403088377,0.03155607317778091,0.039354248206550604,0.012424623753753524
Armenia,-1.6287434175920927,0.3487332124776691,0.4798504567594956,-0.9958867473690654,0.4165659688683351,-0.39170625240170437,0.570244784842866,-0.28074210186223286,-0.5170764172495065,0.23180757065009633,0.6127361884370851,0.13165935572134005,-0.34849155253163006,-0.0432211258588093,0.012769330450727447,0.0013145872820921152,0.009134245279272684
Australia,-4.10850103245964,-1.564669211008629,-0.7432554885664852,1.0278989418841018,-0.5648520726917121,0.4823920621046111,-0.039257191465051876,0.6075903352375187,0.5137206699575548,0.11959483737167732,0.028099132019924974,0.3909380084235238,-0.054979388053490987,-0.040603361333543794,-0.07635452368752974,0.051949560458035594,0.026038806403312287
Austria,-2.8740176364426357,-2.032637657907705,-1.3992036973094633,1.2235363770787127,-0.5806681162131453,0.6188277408009993,-1.2160049311085928,-0.2933578503302284,0.05166794097500067,0.15580297142716398,-0.4248777343581988,0.20206223134355134,-0.0036978589705099324,0.0026914276818182604,0.021535055479172654,0.013940625185254487,-0.031523881375339055
Azerbaijan,0.037754059965577076,-0.5122145960325204,-0.32181804660380553,-1.4208807650564335,0.6089537345014979,0.3761940701498129,0.5564062020193449,-0.15420272011531283,-0.6385518550652003,-0.06161408423817116,0.9942479358986598,-0.30102443624824,-0.6530505390485695,-0.016224490334800654,0.022568132927764946,0.021610666371679573,-0.0849292450309497
"Bahamas, The",-2.403957157366652,-0.33311445102516757,0.6094443634366067,0.20989481112823358,0.21423918847236972,0.410042899078326,-0.06484837827080375,-0.06571701418147433,0.7245680387753004,1.3800631149828246,0.004275099493790411,-0.3276328254099075,0.05859838454555156,0.05462679631585561,0.03590000750242154,-0.009623162329539053,-0.03639936903358213
Bahrain,-1.8577092140169635,1.7875338940960126,-0.06830073873001058,-0.42211178189822746,-0.6765333028182542,0.35427879245426186,0.8244402012339005,0.395288512246788,-0.20712020861721242,0.3574893795948844,-0.029795405363139862,0.2707049727116886,-0.07963825843496948,-0.017431554561273398,0.110946923882988,-0.1248891421285528,-0.022969791516406487
Bangladesh,2.282157165392718,3.0215411511370474,-1.4330731718944367,0.8675712561338331,-1.0096173212290624,-0.02996519660539182,-0.252469297274389,-0.04035598841125415,-0.5022248598054665,-0.15858311782447976,0.12499556753178317,-0.16760494011815097,-0.42690892170682204,-0.031232358394884703,-0.03160637080049126,-0.009554935252474896,-0.059836050232827565
Barbados,-1.8978201544439188,0.09104993291892138,-0.015907616291998525,-0.37665411841301966,0.23929674260797407,0.2943063166253668,0.20678938183685408,-0.6757799463817215,0.43518710456220233,0.6616982504177487,-0.4588345192528128,-0.011623996283298337,-0.3474126005357215,0.018293718134514074,-0.09288484354529121,0.18813406527044826,0.1255026774197281
Belarus,-2.1994587188658046,-0.10666207787981241,1.0754469932563104,0.19228808478701903,0.5407799039797293,-1.1715403582165598,0.2908451388515307,-1.255712897608937,0.24532659339736673,1.0505609570794991,-0.15380662055356306,-0.1490710119835877,0.3788743548810171,0.047881038960836536,0.05148853302816017,-0.048367968952663536,0.01867306371674105
Belgium,-3.6583347814825524,-1.383880507692027,-0.6240317902155156,1.0889488548262944,-0.5607523113862739,0.0795912731305311,-0.5233602480780916,0.10906688332932335,-0.13829861779815697,-0.1518236436481151,-0.16851929720945563,-0.32299966871146957,-0.04909485942022139,-0.024891719139835695,0.008461385311032958,0.013301673330302483,-0.007293824698218539
Belize,-1.7513801209379976,0.5337674933100837,1.085863991724515,-0.5914146400445022,0.6477991542219844,0.012166413281782,0.37288321772957717,-0.6093597464013039,0.5957727480608098,0.17331307401950122,0.34239158214802645,-0.13417152453647832,-0.049490241626198,0.021255116170069647,-0.005023171520494737,0.0422692117238569,0.05481096968516079
Benin,3.4861307331663944,0.15547573500329948,0.01616465537441903,-0.29320986157585216,-0.8406224319685156,-0.8078391204461974,0.8050311732871716,0.609857300870047,0.24143190545740598,-0.25390792962832315,-0.02092157815864481,-0.3661200584246724,-0.27845647804960677,0.02292979474482295,-0.0006003690513618652,-0.06568588600540219,0.06013905912050017
Bhutan,2.4048529044459612,3.688298751207258,-0.41727733352643004,0.8845452198961878,-1.8795280370250222,0.3596686434109957,0.6405567385041385,-0.6217876806118202,0.6790837635259588,-0.4599103506255634,-0.18548111139071774,-0.4892658258195449,0.4978445545372568,-0.008584949933145472,-0.262405082714474,0.10318406685687315,0.058156400225928044
Bolivia,-0.0737277157518089,-0.22660431423402258,0.7337486477182649,-1.177401714284543,0.3802072124361295,-0.6525051214385224,0.020725940463937265,0.4585015534824901,-0.14812015350461857,0.045489119606836284,0.31210723199852036,0.032004000214395784,-0.04695324497430288,0.05914446244078482,-0.040997774314891884,0.03609533589086676,-0.058558455430706695
Bosnia and Herzegovina,-1.3872818107880442,0.5263633158543906,-0.001376272818072677,-1.0237606671264887,0.12654888297688865,-0.33985907303581725,0.25870669317244466,-0.3212078703269011,-0.4972452279228555,0.15544841213994087,-0.580751244572115,0.5347878906746937,0.06829483007239875,-0.0019972335068010947,0.04447626324222232,-0.03696667219377376,0.026378195132064342
Botswana,1.6617892192778876,0.5509644494840006,3.8650639961528652,2.68414426389493,0.6224704408189558,1.085915111946831,0.5446897353877282,-0.2099689614873507,-0.712021687956375,0.046328510776699146,-0.13373596838215976,0.16183281010947745,-0.36202613500314784,-0.014436470588342472,-0.003562631688971344,0.009911008559833413,0.018636569988417517
Brazil,-1.1464830533952326,0.9952350938162717,0.08263045114799802,0.040395209860606185,1.0196046317799052,-0.6096618885279338,-1.050640368200072,0.3723533109445903,0.15849450451431493,0.32520228109592686,-0.5781198924478897,-0.279888273327255,0.03291147870496436,-0.03471163145730922,-0.06156322623245852,0.09742278684188652,-0.019308455218432417
Brunei Darussalam,-1.8761326066109054,1.5736945271897698,-0.09373054693033823,-0.49229207420611004,-0.6390523034392049,1.0105585452988004,0.8628822524233267,0.8631663364078302,0.10653506327315854,0.4587673392892611,0.14935565106439538,0.1628473061104007,0.20459966950395278,-0.023517535809031154,0.1488594796798623,-0.11363684392255682,-0.04181325379737158
